 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.92 	 W: 0.30 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.92 	 W: 0.60 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.92 	 W: 0.60 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.92 	 W: 0.60 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.92 	 W: 0.60 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.92 	 W: 0.30 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.92 	 W: 0.60 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.92 	 W: 0.60 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.89 	 W: 0.29 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.89 	 W: 0.58 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.86 	 W: 0.28 	 Thr: 0 	 Hz: 84
T: 0.00 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.00 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.33 	 V: 0.86 	 W: 0.28 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.86 	 W: 0.56 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.33 	 V: 0.84 	 W: 0.27 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.84 	 W: 0.54 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.81 	 W: 0.26 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.33 	 V: 0.81 	 W: 0.26 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.81 	 W: 0.53 	 Thr: 0 	 Hz: 84
